Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,156.303482,164.040497,156.184769,163.535919,153.140808,27906448
2010-01-05,162.259598,167.147186,153.246277,160.686478,150.472488,23669317
2010-01-06,162.200241,162.932388,159.311234,160.933823,150.704086,14990820
2010-01-07,161.17128,161.923218,154.344498,155.432831,145.55278,22722030
2010-01-08,156.323273,159.251862,155.343781,156.283707,146.349594,16495776
2010-01-11,158.104172,158.104172,154.789719,156.352951,146.414413,11776347
2010-01-12,155.927521,157.70842,154.552277,155.591125,145.701004,10657130
2010-01-13,155.333893,157.193939,152.781265,155.32399,145.450836,17659374
2010-01-14,155.531769,156.778397,154.255447,154.769943,144.932022,8626217
2010-01-15,154.938126,158.994629,153.355118,157.748001,147.720795,18955837
2010-01-18,157.045532,161.01297,155.383362,160.44902,150.250107,18756613
2010-01-19,160.874466,162.022156,158.707703,159.627838,149.481125,11559642
2010-01-20,160.280823,160.755737,158.114075,159.28154,149.156845,10185363
2010-01-21,158.242691,159.024307,154.40387,154.888657,145.043198,9291983
2010-01-22,150.861862,155.828583,149.199677,153.958633,144.172272,12698513
2010-01-25,153.988327,154.938126,150.386948,152.098587,142.430481,8448704
2010-01-27,148.803925,150.861862,140.73053,142.066193,133.035782,16092885
2010-01-28,143.461227,145.370758,138.959518,140.710739,131.766495,27120072
2010-01-29,139.503677,140.849243,132.874786,137.396286,128.66272,20899408
2010-02-01,136.080399,143.134735,134.23024,142.442169,133.387878,24102055
2010-02-02,144.450623,146.429398,139.51358,140.384232,131.460739,21818956
2010-02-03,141.482452,143.856995,140.364456,142.778564,133.702866,11665708
2010-02-04,142.669724,143.461227,135.763794,136.456375,127.782547,14364089
2010-02-05,132.577972,134.259933,130.233124,133.013306,124.55835,22246872
2010-02-08,133.577255,136.11998,125.404907,133.221069,124.752899,17350173
2010-02-09,131.638046,136.139771,131.400604,133.834488,125.327316,13384786
2010-02-10,135.546127,137.327026,131.984329,132.5186,124.095085,13442883
2010-02-11,133.567352,136.911484,133.280441,136.100189,127.44902,10099224
2010-02-15,137.307236,138.989197,134.655685,135.180054,126.587372,12144363
2010-02-16,135.96167,140.295197,135.546127,139.137604,130.29335,10227647
2010-02-17,140.493073,142.867599,140.107208,140.789886,131.840607,12520479
2010-02-18,141.383514,142.452057,139.206863,140.463394,131.534851,11860551
2010-02-19,139.305801,140.374344,136.021042,138.474716,129.672607,12664376
2010-02-22,140.493073,141.423096,138.820999,139.51358,130.645432,8688478
2010-02-23,138.316422,140.869034,137.524902,138.454926,129.654068,13054284
2010-02-24,136.931274,138.18779,133.567352,135.437302,126.828262,15428009
2010-02-25,136.139771,136.139771,130.866333,132.063492,123.668892,23716569
2010-02-26,131.588577,142.600464,131.588577,140.73053,131.785019,27928931
2010-03-02,142.471848,159.805923,142.471848,157.916183,147.878265,49889228
2010-03-03,160.280823,161.062439,157.352234,160.132416,149.953629,34628599
2010-03-04,160.063156,164.179016,158.13385,160.874466,150.648529,36989165
2010-03-05,161.863846,161.863846,156.659668,157.164261,147.174149,27008963
2010-03-08,158.302048,161.68576,156.946594,157.837036,147.804169,20424255
2010-03-09,155.333893,155.333893,150.980576,153.562881,143.801682,57668210
2010-03-10,153.948746,156.877335,153.444153,154.097153,144.301987,22771045
2010-03-11,154.344498,154.89856,151.722626,152.44487,142.754745,13225081
2010-03-12,152.959351,154.156509,150.159393,150.565033,140.9944,18038608
2010-03-15,149.397568,153.493622,148.803925,152.187637,142.513855,17543044
2010-03-16,152.959351,155.99678,152.781265,155.541656,145.654663,14401329
2010-03-17,156.283707,157.461075,153.948746,154.443436,144.626251,18807902
2010-03-18,154.878769,156.125397,153.196808,154.40387,144.589203,10309081
2010-03-19,153.454056,155.620804,153.355118,155.066757,145.209976,9961296
2010-03-22,153.75087,154.987595,150.109924,150.426529,140.864685,15177582
2010-03-23,150.386948,152.059021,145.637894,146.290878,136.991943,24082386
2010-03-25,147.418793,149.001801,141.334045,143.500809,134.379227,44001415
2010-03-26,144.747437,149.753738,144.134018,148.358704,138.928314,39431276
2010-03-29,149.021591,150.28801,145.449905,146.548126,137.232834,26307691
2010-03-30,147.399002,150.3078,146.548126,149.585541,140.077148,27946856
2010-03-31,149.991196,151.673157,148.64563,149.931824,140.401428,16156899
2010-04-01,150.386948,154.344498,150.386948,153.879486,144.09816,20006815
2010-04-05,154.967819,155.927521,149.595444,154.631424,144.802292,16111998
2010-04-06,155.314102,155.511978,152.068909,153.18692,143.449631,11920952
2010-04-07,153.345215,157.906296,153.25618,157.381927,147.377975,20079249
2010-04-08,157.510544,157.70842,152.246994,153.958633,144.172272,11364522
2010-04-09,155.333893,161.141602,154.344498,160.211563,150.02774,29347237
2010-04-12,160.270935,160.270935,153.968536,154.552277,144.72821,29781931
2010-04-13,154.938126,155.670273,150.604614,153.295746,143.551529,49489395
2010-04-15,154.344498,157.787567,152.761475,153.424377,143.671967,30353385
2010-04-16,153.355118,156.214447,153.216599,155.284424,145.413788,17014035
2010-04-19,151.623688,154.24556,151.059738,153.513412,143.755371,18251422
2010-04-20,153.75087,158.074493,153.75087,156.788284,146.822052,21190375
2010-04-21,157.154358,160.676575,153.384796,160.162094,149.98143,24958473
2010-04-22,159.667404,169.125961,158.499924,165.55426,155.030853,53118709
2010-04-23,165.821396,167.899109,163.743683,167.097702,156.476166,28966138
2010-04-26,167.602295,170.333008,165.227768,168.354233,157.652832,15735528
2010-04-27,168.057419,169.145737,166.820679,167.513245,156.865311,22734583
2010-04-28,164.258163,166.988876,138.514297,162.566315,152.232819,19690948
2010-04-29,164.218597,168.176147,162.922501,166.721741,156.124115,41823624
2010-04-30,167.800171,173.835434,167.206543,172.667969,161.692352,30858379
2010-05-03,172.351364,174.666519,167.730911,169.076492,158.329163,23773791
2010-05-04,169.986725,172.054535,165.841187,166.652481,156.05925,18968476
2010-05-05,162.259598,166.533752,159.558578,165.19809,154.697311,18946811
2010-05-06,165.227768,165.227768,159.5289,160.963501,150.731873,24010448
2010-05-07,159.251862,159.251862,150.010986,150.931107,141.337219,28801931
2010-05-10,156.719025,161.66597,151.485168,160.993195,150.759705,22222064
2010-05-11,161.586823,162.061722,156.966385,158.282257,148.221085,21729699
2010-05-12,157.332458,160.656799,156.620087,158.826431,148.730667,19139875
2010-05-13,160.270935,165.603729,160.112625,164.40657,153.9561,23865686
2010-05-14,164.63414,165.227768,160.399551,161.517563,151.250732,13830264
2010-05-17,159.687195,159.687195,153.275955,156.164978,146.238388,24175191
2010-05-18,157.312668,157.312668,151.415909,152.830734,143.116074,22833144
2010-05-19,151.376343,151.376343,139.909332,141.462677,132.470627,42604941
2010-05-20,142.076096,144.905746,137.594162,140.869034,131.914734,32478158
2010-05-21,136.535522,141.343948,133.864166,140.463394,131.534851,42409395
2010-05-24,142.471848,146.310669,138.910049,139.889542,130.997498,27683087
2010-05-25,138.316422,138.395569,132.577972,133.260651,124.789955,22896567
2010-05-26,133.567352,141.264786,133.567352,140.394135,131.470016,26941684
2010-05-27,139.91922,148.408173,139.394852,146.775681,137.445923,46147010
2010-05-28,150.386948,153.09787,146.93399,148.309235,138.881973,39059693
2010-05-31,149.179901,151.237823,146.627274,149.397568,139.901123,22413182
2010-06-01,148.032211,150.070343,142.580673,143.45134,134.332886,24048880
2010-06-02,145.440002,148.378494,143.678894,147.646347,138.261246,28703946
2010-06-03,149.397568,152.761475,149.397568,151.821564,142.171051,24720427
